seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
120,300.0,1,338.06791574497544,299.9999999999997,1,13,52,5,21.35888037320893,315,307,,,47.654588503528515,46.16373407637693,338.06791574497544,343.06791574497544,3000,600,152.31200000000172
88,300.0,1,31.811600000000187,31.60000000000018,0,0,10,0,5.378548895899054,5,10,,,38.794867738214386,38.19240151059164,31.811600000000187,26.811600000000187,316,64,14.81199999999808
140,300.0,1,307.8329682337406,299.9999999999997,1,11,56,3,15.624125291569477,240,234,,,50.21081465494364,48.89090421285563,307.8329682337406,312.8329682337406,3000,600,150.34400000000096
113,300.0,1,248.49811231137272,245.29999999999035,0,0,18,0,4.969437652811736,74,79,,,49.60097944630393,48.29575081085233,248.49811231137272,243.49811231137272,2453,491,113.20400000000154
85,300.0,1,325.0049046695332,299.9999999999997,1,11,34,1,13.941352882372543,214,208,,,48.31709618670722,48.273846642747614,325.0049046695332,330.0049046695332,3000,600,147.5
117,300.0,1,310.2615931847691,299.9999999999997,1,1,53,1,16.633122292569144,250,254,,,49.20116795886849,48.306669720145365,310.2615931847691,315.2615931847691,3000,600,146.92199999999866
126,300.0,1,316.7786711118333,299.9999999999997,1,9,60,5,19.606131289570143,265,261,,,49.529575406665,48.45932102785689,316.7786711118333,321.7786711118333,3000,600,166.96799999999712
94,300.0,1,322.9772812500333,299.9999999999997,1,12,64,2,17.647117627457515,239,232,,,48.10982990528954,46.87255087370964,322.9772812500333,327.9772812500333,3000,600,166.9529999999977
119,300.0,1,202.7963999999938,186.89999999999367,0,0,46,0,15.549732620320855,129,134,,,48.13915005857916,46.80604931879115,202.7963999999938,197.7963999999938,1869,374,109.65599999999904
132,300.0,1,37.386400000000265,37.20000000000026,0,0,10,0,4.632707774798928,5,10,,,38.55540013607476,36.23999998211213,37.386400000000265,32.386400000000265,372,75,22.329000000001543
146,300.0,1,323.9153601217438,299.9999999999997,1,16,43,3,19.823058980339887,279,268,,,49.73093184763156,48.84932789325299,323.9153601217438,328.9153601217438,3000,600,172.21900000000096
91,300.0,1,303.77134250242915,294.5999999999985,0,0,36,0,13.62538174414659,167,172,,,48.121736948566365,46.79651161310717,303.77134250242915,298.77134250242915,2946,590,162.95300000000134
123,300.0,1,317.46317725896114,299.9999999999997,1,31,58,5,24.84005331556148,376,350,,,50.8464028619976,50.33668740097029,317.46317725896114,322.46317725896114,3000,600,167.375
129,300.0,1,59.25417438264084,59.30000000000057,0,0,11,0,3.9057239057239057,6,11,,,41.571557467866995,38.565523480761165,59.25417438264084,54.25417438264084,593,119,22.860000000000582
100,300.0,1,282.43207992934043,274.4999999999939,0,0,23,0,10.993080844865258,126,131,,,47.45879059501383,46.262272811185476,282.43207992934043,277.43207992934043,2745,549,134.9529999999977
125,300.0,1,320.27590789576743,299.9999999999997,1,2,51,1,14.18160613128957,195,198,,,47.399263248285806,46.48043810719695,320.27590789576743,325.27590789576743,3000,600,141.10900000000038
138,300.0,1,319.40836340998976,299.9999999999997,1,9,26,5,13.293235588137287,192,188,,,48.05986272962524,45.99683719650758,319.40836340998976,324.40836340998976,3000,600,141.53099999999904
106,300.0,1,64.51920000000061,63.90000000000064,0,0,10,0,4.1921875,6,11,,,40.69827615211733,39.11041308312899,64.51920000000061,59.51920000000061,639,128,29.68800000000192
152,300.0,1,301.88309890660986,299.9999999999997,1,13,34,2,9.372542485838053,145,137,,,48.96019569224209,49.45751442531812,301.88309890660986,306.88309890660986,3000,600,144.625
97,300.0,1,319.1707289895912,299.9999999999997,1,23,50,5,18.070976341219595,251,233,,,49.428771647124584,49.4749743703856,319.1707289895912,324.1707289895912,3000,600,142.59299999999712
135,300.0,1,317.5707712611192,299.9999999999997,1,14,50,2,12.767077640786404,150,141,,,46.55908146975013,44.29003387032611,317.5707712611192,322.5707712611192,3000,600,136.06300000000192
141,300.0,1,37.489800000000265,37.20000000000026,0,0,10,0,5.651474530831099,5,10,,,39.653514611399004,39.51631436816764,37.489800000000265,32.489800000000265,372,75,11.28099999999904
131,300.0,1,315.52674669789445,299.9999999999997,1,6,28,4,11.929023658780407,125,124,,,49.391320804747885,49.22102449885382,315.52674669789445,320.52674669789445,3000,600,135.43800000000192
158,300.0,1,261.4749418526111,254.7999999999898,0,0,23,0,8.563358179678305,85,90,,,49.44054443435826,48.906006165293135,261.4749418526111,256.4749418526111,2548,510,108.4529999999977
