seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
84,300.0,1,170.31530451068514,167.89999999999475,0,0,10,0,3.545238095238095,19,24,,,46.03783168613805,44.89222747400504,170.31530451068514,165.31530451068514,1679,336,76.11000000000058
131,300.0,1,133.4608768402773,130.89999999999685,0,0,16,0,5.412977099236641,28,33,,,47.62913152673998,46.617628998228575,133.4608768402773,128.4608768402773,1309,262,59.98400000000038
137,300.0,1,54.43440000000051,54.1000000000005,0,0,10,0,4.169741697416974,5,10,,,37.79590631524732,33.95571954202682,54.43440000000051,49.43440000000051,541,109,18.1720000000023
105,300.0,1,330.98100000000693,299.9999999999997,1,16,44,3,20.396201266244585,247,236,,,47.556971932959705,46.38992369323357,330.98100000000693,335.98100000000693,3000,600,139.25
100,300.0,1,130.79782961948726,129.19999999999695,0,0,10,0,2.8081979891724673,20,25,,,50.72485017144169,45.33431569229434,130.79782961948726,125.79782961948726,1292,259,63.4529999999977
92,300.0,1,236.9565999999912,229.89999999999122,0,0,12,0,6.193478260869565,52,57,,,47.3781345115115,46.735360930268186,236.9565999999912,231.9565999999912,2299,460,118.2029999999977
106,300.0,1,140.1637999999964,137.99999999999645,0,0,10,0,3.9232440260680668,17,22,,,45.886350634913036,45.72729280039991,140.1637999999964,135.1637999999964,1380,276,64.73400000000038
61,300.0,1,323.26724399813224,299.9999999999997,1,19,35,3,15.58813728757081,203,189,,,50.64432887282174,51.91747361144881,323.26724399813224,328.26724399813224,3000,600,154.79699999999866
90,300.0,1,320.7380000000044,299.9999999999997,1,5,33,2,14.124958347217595,168,168,,,45.4106615715444,43.436426237764586,320.7380000000044,325.7380000000044,3000,600,157.18799999999828
67,300.0,1,28.10000000000013,28.10000000000013,0,0,10,0,5.6453900709219855,5,10,,,34.56174920712317,30.88244918724935,28.10000000000013,23.10000000000013,281,57,14.96900000000096
143,300.0,1,308.08324195582867,299.9999999999997,1,3,24,1,8.46151282905698,101,103,,,48.88257755040273,48.71238056705722,308.08324195582867,313.08324195582867,3000,600,170.67199999999866
111,300.0,1,329.78977354523204,299.9999999999997,1,27,45,4,20.03132289236921,266,244,,,47.429338723016336,46.12022747068953,329.78977354523204,334.78977354523204,3000,600,174.25
98,300.0,1,315.024269307174,299.9999999999997,1,6,57,3,17.180273242252582,205,204,,,47.6563399050782,46.97369182255982,315.024269307174,320.024269307174,3000,600,185.5
112,300.0,1,328.6425711794159,299.9999999999997,1,6,38,2,17.639453515494836,217,216,,,48.26110841844022,47.91332406054497,328.6425711794159,333.6425711794159,3000,600,192.96900000000096
96,300.0,1,317.2228286228393,299.9999999999997,1,10,46,2,15.08330556481173,204,199,,,46.40091622472841,45.04597713947295,317.2228286228393,322.2228286228393,3000,600,177.2970000000023
73,300.0,1,314.65463960107195,299.9999999999997,1,6,51,3,17.80006664445185,226,225,,,47.723966162470134,46.70516917310865,314.65463960107195,319.65463960107195,3000,600,179.84400000000096
79,300.0,1,24.809400000000085,24.70000000000008,0,0,10,0,6.451612903225806,6,11,,,37.243241964199576,34.012919994386166,24.809400000000085,19.809400000000085,247,50,10.9220000000023
149,300.0,1,315.51753433664487,299.9999999999997,1,24,40,1,17.528157280906363,201,182,,,47.39964730785005,46.70585827411285,315.51753433664487,320.51753433664487,3000,600,176.23399999999674
117,300.0,1,327.9964014769377,299.9999999999997,1,16,42,4,18.590803065644785,248,237,,,47.157498969590065,45.382972273772985,327.9964014769377,332.9964014769377,3000,600,170.4220000000023
104,300.0,1,304.0473039859149,299.9999999999997,1,7,36,2,11.590803065644785,159,157,,,49.72323168040345,50.02220861044529,304.0473039859149,309.0473039859149,3000,600,150.39099999999962
110,300.0,1,19.922400000000017,19.900000000000013,0,0,10,0,7.015,5,10,,,35.82872492652984,33.32939068159439,19.922400000000017,14.922400000000017,199,40,13.625
118,300.0,1,313.90286469400564,299.9999999999997,1,18,39,5,15.373542152615794,203,190,,,51.79476256564395,53.163488239678394,313.90286469400564,318.90286469400564,3000,600,158.96800000000076
124,300.0,1,33.59800000000021,33.400000000000205,0,0,10,0,5.367164179104478,6,11,,,36.83207529156799,33.94269538905587,33.59800000000021,28.598000000000212,334,67,20.8279999999977
